step_name,item_title,item_text
Dialoguer,Prendre un rdv avec le client,Texte test pour Prendre un rdv avec le client
,Préparer l’entretien,Texte test pour préparer l'entretien
,Définir les besoins du client,
Découvrir,Rédiger le briefing,Texte test pour rédiger le briefing
,Recherche documentation sur le client,
,Faire approuver le brief par le client,
Définir,Analyse de marché,Texte test
,Analyse public cible,Texte test
,Recherche axe de communication,
,Planification,
,Définir un budget,
,Définir la stratégie,Texte test
Dévlirer,Faire des retouches suivant le retour du client,
,Créer les déclinaisons pour les différents médias,
,Création du logo et de la charte graphique,Texte test
,Faire valider les réalisations,
,Bon à tirer,
,Exporter les fichiers dans les normes,
Diffuser,Envoyer à l’impression,Texte test
,Suivre et contrôler la production,
Débriefer,Confirmation de l’impression et récupération du justificatif de l’imprimeur,Texte test
,Recueillir les revue de presse,Texte test
,Débriefer avec le client,
Clore,Faire les dernières factures,Texte test
,Archiver le mandat,
,Reprendre contact avec le client,
,Archiver le mandat,Texte test